0  0.0217541 0.0626935    0.0435082      -28      12      1   0.0943192 0.0995984    0.188638      -11      6      0      1
0  0.0668716 0.0344598    0.133743      -39      22      1   -0.0503759 0.0167596    -0.100752      -inf      -inf      0      0
0  0.0171011 0.0758924    0.0342022      -19      8      -1.5   -0.0341552 0.0450874    -0.0683104      -inf      -inf      0      0
0  0.0405855 0.0630042    0.0811709      -33      14      1   0.0469836 0.0644163    0.0939672      -29      13      0      1
0  0.00387792 0.00864087    0.00775583      -18      3      0   -0.0139985 0.0209487    -0.027997      -inf      -inf      0      0
0  0.0635273 0.0142735    0.127055      -32      18      -1.5   0.0488107 -0.0123473    0.0976214      -inf      -inf      0      0
0  0.0612878 0.0335932    0.122576      -41      22      -0.5   -0.0192635 -0.00841525    -0.038527      -inf      -inf      0      0
0  0.145149 0.114311    0.290297      -5      3      1.5   0.165364 0.102921    0.330727      -5      4      0      1
0  0.0409263 0.0686072    0.0818526      -28      12      0   0.0664837 0.0382364    0.132967      -37      20      0      0
0  0.0217986 0.0352632    0.0435973      -37      14      -0.5   -0.0611547 0.00375745    -0.122309      -inf      -inf      0      0
0  0.0200151 0.0088647    0.0400302      -28      9      -1   0.0253295 0.0158528    0.050659      -38      15      0      0
0  0.036014 0.0230317    0.0720279      -38      15      -0.5   0.152704 0.00666424    0.305409      -7      4      0      1
0  0.00450175 0.0556484    0.00900351      -18      2      -0.5   -0.00302502 0.0495391    -0.00605003      -inf      -inf      0      0
0  0.0200151 0.0088647    0.0400302      -28      9      -1   -0.0160811 -0.0424362    -0.0321623      -inf      -inf      0      0
0  0.220392 0.026317    0.440783      -4      1      2   0.115214 0.0577691    0.230428      -15      9      0      1
0  0.0612878 0.0335932    0.122576      -41      22      -0.5   0.0147162 0.0436496    0.0294323      -29      9      0      1
0  0.145149 0.114311    0.290297      -5      3      1.5   0.0445461 0.0298699    0.0890922      -44      22      0      1
0  0.0268308 0.0451685    0.0536616      -42      17      0   0.0331707 0.00462912    0.0663413      -26      12      0      1
0  0.0899468 0.0269983    0.179894      -30      18      0.5   0.117732 0.0414813    0.235465      -20      12      0      1
0  0.0287733 0.0562934    0.0575465      -33      16      -1   0.0329582 -0.000842196    0.0659164      -inf      -inf      0      0
0  0.0853087 0.00805666    0.170617      -26      16      -1.5   0.0853087 0.00805666    0.170617      -26      16      0      0
0  0.130417 0.0223337    0.260833      -13      7      -1.5   -0.00944934 0.0364512    -0.0188987      -inf      -inf      0      0
0  0.237665 0.024563    0.47533      -3      2      2   0.268608 0.154298    0.537215      -2      0      0      1
