0 203  -0.0325575 -84.6898   12517.2 96.2819
500 4674  -0.00302121 -1655.24   83081.7 1.47923
1000 5534  -0.00302121 -1938.4   92443.4 1.37839
1500 6041  -0.00302121 -2111.02   97769 1.30917
