0    0.29593572925904865 0.3178692878742671 0.38619498286668424  -369.93148803710938         8 7 
1    0.34706949322996544 0.3100818901949664 0.34284861657506815  -376.1895751953125         8 7 
2    0.42947814296941272 0.10579024932450745 0.4647316077060798  -387.45623779296875         8 8 
3    0.46520604104928887 0.48744836756630777 0.047345591384403397  -395.246337890625         8 9 
4    0.47501817246805622 0.34659154741255127 0.17839028011939254  -385.27767944335938         8 8 
5    0.27024238463452122 0.41555590603355513 0.31420170933192365  -384.27273559570312         8 10 
6    0.64786976183310507 0.00047549724081071552 0.35165474092608418  -414.68478393554688         8 4 
7    0.1704591577816898 0.62466053968683166 0.20488030253147851  -394.33950805664062         8 6 
8    0.61352612170037957 0.32713890024102338 0.059334978058597082  -397.06680297851562         8 8 
9    0.10966515132791088 0.27044826834003116 0.6198865803320579  -382.14279174804688         8 3 
10    0.52215619009101244 0.34035888896959648 0.13748492093939108  -400.81314086914062         8 7 
11    0.00038229163209165966 0.99907601957799608 0.00054168878991222463  -444.42520141601562         8 3 
12    0.80428498796413517 0.1111995993706948 0.08451541266517007  -400.49618530273438         8 6 
13    0.28163641925199534 0.098658886026162199 0.61970469472184253  -394.11978149414062         8 3 
14    0.078977988793394988 0.010604724278184629 0.91041728692842039  -427.40673828125         8 4 
15    0.43943645677365967 0.28845568088470158 0.27210786234163875  -382.90426635742188         8 7 
16    0.65843634252841921 0.054081656700818749 0.28748200077076203  -395.32754516601562         8 7 
17    0.061196633737380129 0.64380763959100562 0.29499572667161422  -426.86611938476562         8 6 
18    0.13482797463979571 0.0014519304763363034 0.86372009488386803  -412.54345703125         8 2 
19    0.34652727074104767 0.44559572111839812 0.20787700814055421  -376.91799926757812         8 8 
20    0.78774273521691618 0.028767105095821536 0.18349015968726232  -410.88946533203125         8 1 
21    0.72149019277128268 0.088330372227505838 0.19017943500121146  -397.66067504882812         8 5 
22    0.37036626552137863 0.5764744358420385 0.053159298636582857  -396.26364135742188         8 7 
23    0.52695570767019306 0.049275739168390779 0.42376855316141615  -394.6400146484375         8 9 
24    0.099995258248489857 0.72256221858918868 0.17744252316232151  -405.38372802734375         8 3 
25    0.3390357493962195 0.17785560208621162 0.48310864851756891  -379.3043212890625         8 9 
26    0.93236039992716901 0.00011688213342354665 0.067522717939407451  -426.06015014648438         8 3 
27    0.62481963291860676 0.054430607947200497 0.32074975913419274  -396.2958984375         8 6 
28    0.47707665771145213 0.2045644209930742 0.31835892129547361  -383.855712890625         8 6 
29    0.84280362656843222 0.047220143572247603 0.10997622985932018  -398.51473999023438         8 9 
30    0.3648988719606131 0.14185267483511063 0.49324845320427624  -390.12274169921875         8 7 
31    0.16712746439509824 0.52034642406895004 0.31252611153595172  -397.87689208984375         8 10 
32    0.2309591821864746 0.36063049515937101 0.40841032265415439  -396.06362915039062         8 6 
33    0.40069669009259101 0.21006356120566025 0.38923974870174877  -384.41110229492188         8 8 
34    0.55658927087232679 8.9878115472971797e-05 0.44332085101220026  -414.72286987304688         8 6 
35    0.41039102377760095 0.082459988705311335 0.5071489875170877  -385.90927124023438         8 9 
36    0.24449794281185366 0.15224498452610752 0.60325707266203887  -375.93505859375         8 3 
37    0.090677321449742929 0.044693075008523153 0.8646296035417339  -398.1529541015625         8 6 
38    0.33332213053800536 0.19360743069809935 0.47307043876389526  -385.76327514648438         8 3 
39    0.019474507569632288 0.70103190813498228 0.2794935842953854  -429.87014770507812         8 4 
40    0.016272227863096289 0.1795061400994801 0.80422163203742358  -409.31753540039062         8 2 
41    0.6337019598526602 0.0014323953222860355 0.36486564482505374  -417.69058227539062         8 2 
42    0.3041702979565038 0.075116372847062324 0.62071332919643385  -396.17605590820312         8 6 
43    0.51356575097252088 0.098717356877205412 0.38771689215027366  -395.54916381835938         8 6 
44    0.52837751458651483 0.21361168772224895 0.25801079769123625  -393.87112426757812         8 7 
45    0.14290154367244973 0.61994707169866725 0.23715138462888305  -390.13287353515625         8 4 
46    0.086925902219520346 0.82918983932043289 0.083884258460046796  -413.90264892578125         8 3 
47    0.17143211033730785 0.70089389034978711 0.12767399931290507  -386.35861206054688         8 8 
48    0.091377649538412375 0.30198594432618475 0.60663640613540293  -397.98190307617188         8 5 
49    0.13385692794142245 0.25504665420854394 0.61109641785003355  -363.20162963867188         8 5 
50    0.5191128679276652 0.43765972033713529 0.043227411735199492  -397.16302490234375         8 8 
51    0.34065600078986008 0.6447926606650165 0.014551338545123445  -403.23583984375         8 6 
52    0.40173724403860844 0.16908279740083162 0.4291799585605599  -376.86935424804688         8 6 
53    0.2746869195739346 0.16019872565650872 0.56511435476955674  -388.96188354492188         8 5 
54    0.096943486712089563 0.47538505217636262 0.4276714611115478  -392.22967529296875         8 2 
55    0.360594160261061 0.40072732249256821 0.23867851724637079  -307.91995239257812         8 7 
56    0.55487836639403654 0.053328214141211042 0.39179341946475243  -394.83609008789062         8 6 
57    0.11429980124534486 0.77599390462477114 0.10970629412988396  -403.23855590820312         8 3 
58    0.74062042998634003 0.19496403816477781 0.064415531848882115  -406.43435668945312         8 5 
59    0.22892004174145958 0.66863524799051022 0.10244471026803018  -395.41522216796875         8 9 
60    0.14351469149015159 0.78294631961086192 0.073538988898986482  -398.326416015625         8 3 
61    0.12260618104298045 0.12475170789444831 0.75264211106257128  -391.61572265625         8 4 
62    0.19610156773073695 0.29606675836951113 0.50783167389975192  -384.37387084960938         8 2 
63    0.38974135417887457 0.32463362521996314 0.28562502060116235  -377.17752075195312         8 8 
64    0.80298234697600412 0.01566104655465396 0.18135660646934193  -411.50900268554688         8 2 
65    0.12118297670972181 0.29152848197993081 0.58728854131034736  -377.39102172851562         8 4 
66    0.17571344161950911 0.015640740108310305 0.80864581827218063  -410.94851684570312         8 2 
67    0.40239361989440736 0.26280824390934637 0.33479813619624627  -391.06121826171875         8 6 
68    0.093784160032433214 0.40417760150050563 0.50203823846706119  -385.1514892578125         8 4 
69    0.53494589572386142 0.23661466637502995 0.22843943790110863  -393.66058349609375         8 5 
70    0.54294082863732107 0.19696387561275636 0.26009529574992257  -404.29205322265625         8 1 
71    0.0016722303621948158 0.41166425784790583 0.58666351178989928  -397.76846313476562         8 5 
72    0.061666744915526157 0.88559157536780653 0.052741679716667322  -424.84625244140625         8 5 
73    0.095682552567902507 0.17510635868149202 0.72921108875060547  -391.80142211914062         8 3 
74    0.1603198780710155 0.59972669575302595 0.23995342617595858  -387.33078002929688         8 6 
75    0.4252072995152637 0.20443236018834604 0.37036034029639026  -384.531494140625         8 7 
76    0.29682832202179588 0.61478924381904909 0.088382434159154991  -393.70233154296875         8 8 
77    0.51007352362224123 0.21889742775137283 0.27102904862638599  -390.24545288085938         8 6 
78    0.30402292387811652 0.54801813901412466 0.14795893710775876  -376.52273559570312         8 4 
79    0.28578182270399605 0.066312047168764043 0.64790613012723997  -399.3045654296875         8 5 
80    0.67667333191265266 0.23092594499897334 0.092400723088374007  -395.57366943359375         8 4 
81    0.17345124273387003 0.41722497644069817 0.4093237808254318  -389.89959716796875         8 4 
82    0.29667854242827779 0.43034233762029733 0.27297911995142493  -382.15347290039062         8 9 
83    0.17758566640047208 0.066376351271627346 0.75603798232790054  -401.622314453125         8 4 
84    0.2618860549786044 0.15804570135082874 0.58006824367056686  -388.45736694335938         8 4 
85    0.55153784892515312 0.11223009573552852 0.33623205533931838  -395.938720703125         8 6 
86    0.11673368402703764 0.40629940437392764 0.4769669115990347  -379.20962524414062         8 4 
87    0.38592960075132504 0.2201883269830569 0.39388207226561811  -391.81951904296875         8 7 
88    0.42195289906990457 0.51051937530281943 0.067527725627275992  -392.1513671875         8 5 
89    0.029736449748547888 0.7240653074109088 0.24619824284054331  -429.513427734375         8 3 
90    0.32734807397080812 0.049965427739758948 0.6226864982894329  -400.46218872070312         8 4 
91    0.15460992855115541 0.76824420154281137 0.077145869906033213  -397.98440551757812         8 2 
92    0.24961952103202018 0.43095558843942683 0.31942489052855294  -385.55023193359375         8 11 
93    0.52132462081466713 0.13025387609221456 0.34842150309311837  -391.25515747070312         8 8 
94    0.062174063369513956 0.44100597486219845 0.49681996176828758  -396.30279541015625         8 3 
95    0.26530820102739822 0.1911804155416082 0.54351138343099359  -379.80450439453125         8 7 
96    0.090318257538618232 0.377978699086431 0.53170304337495078  -387.98397827148438         8 7 
97    0.10984237054239315 0.49940314649270995 0.3907544829648969  -388.50521850585938         8 3 
98    0.037327263238511772 0.69737342910778222 0.26529930765370602  -428.38937377929688         8 5 
99    0.0017490622901459134 0.90239302923608167 0.095857908473772416  -441.8787841796875         8 9 
100    0.044412180706650907 0.56167554949703236 0.39391226979631677  -421.39605712890625         8 2 
