0 527  -0.035669 -692.692   -1893 4.79561
500 7827  -0 -3428.31   -190955 4.54934
1000 7848  -0 -3218.65   -191508 4.52559
1500 7859  -0 -3181.03   -191783 4.51543
2000 7863  -0 -3160.31   -191885 4.50879
2500 7867  -0 -3149.34   -191991 4.49436
3000 7870  -0 -3141.89   -192066 4.49278
3500 7871  -0 -3136.13   -192091 4.49226
