0    0.028750749304890633 0.44472748041152954  -1.2805061340332031         3.0142447948455811 0.0420989990234375 0.66018915176391602 
1    0.031640518456697464 0.61114662885665894  -1.2663850784301758         -2.9980025291442871 -0.47564816474914551 -0.17314791679382324 
2    0.058830857276916504 0.55582064390182495  -1.0491997003555298         -2.5787687301635742 -0.99508476257324219 -0.034029483795166016 
3    0.061426516622304916 0.56076943874359131  -1.0367965698242188         -2.5787687301635742 -0.99508476257324219 -0.067560434341430664 
4    0.076895609498023987 0.28145694732666016  -0.88992041349411011         -2.2608270645141602 -0.45312714576721191 -0.30199933052062988 
5    0.080668769776821136 0.38625726103782654  -1.2704282999038696         -2.2934560775756836 -1.2665733098983765 0.76401376724243164 
6    0.091827616095542908 0.2206929624080658  -1.3733596801757812         -2.7493009567260742 0.32808613777160645 -0.033835649490356445 
7    0.086892277002334595 0.65012532472610474  -1.6296803951263428         -3.051145076751709 -1.149299144744873 0.93928408622741699 
8    0.08725777268409729 0.655517578125  -0.85985755920410156         2.319998025894165 0.26678133010864258 0.88678956031799316 
9    0.099398128688335419 0.41429656744003296  -0.86710602045059204         2.4971120357513428 1.0361349582672119 0.4314877986907959 
10    0.11854691058397293 0.38008040189743042  -1.8561118841171265         -2.9735846519470215 -0.55186033248901367 1.5696370601654053 
11    0.13113738596439362 0.2906506359577179  -1.5793790817260742         -2.4963808059692383 -0.88902783393859863 1.3548004627227783 
12    0.13130371272563934 0.65314716100692749  -1.1226274967193604         -2.980243444442749 -0.2680974006652832 -1.2310882806777954 
13    0.13833951950073242 0.21472029387950897  -1.2516070604324341         -2.2036757469177246 -0.8450462818145752 0.85575151443481445 
14    0.16160367429256439 0.47722944617271423  -1.5973716974258423         -2.9593148231506348 0.79441976547241211 -2.0386333465576172 
15    0.15752354264259338 0.55430620908737183  -1.2504287958145142         1.869917631149292 1.9785845279693604 -0.7266390323638916 
16    0.15926127135753632 0.71139216423034668  -1.0733004808425903         1.7323811054229736 1.5712740421295166 -0.62070751190185547 
17    0.16735914349555969 0.22310440242290497  -1.2452148199081421         3.0714967250823975 1.0804193019866943 0.074901342391967773 
18    0.17177155613899231 0.72618776559829712  -1.7868553400039673         2.8614346981048584 0.19938349723815918 -1.4784022569656372 
19    0.1720794141292572 0.75295811891555786  -1.4846521615982056         2.1777331829071045 1.1767556667327881 -1.3505266904830933 
20    0.18647080659866333 0.42127916216850281  -2.0766034126281738         -2.8231697082519531 -1.2277761697769165 2.1573860645294189 
21    0.18129098415374756 0.45235854387283325  -0.43643218278884888         -1.979283332824707 -0.94938778877258301 -1.2161117792129517 
22    0.18547122180461884 0.51221048831939697  -0.8759077787399292         -2.4767398834228516 -0.36111664772033691 -1.7280700206756592 
23    0.18013480305671692 0.62180393934249878  -0.67949658632278442         -2.4483566284179688 -1.1017041206359863 -0.92790842056274414 
24    0.19169166684150696 0.22799569368362427  -0.77603107690811157         -1.9734998941421509 -0.089297056198120117 -1.2489845752716064 
25    0.19002503156661987 0.28904083371162415  -1.4198230504989624         -1.8245394229888916 -1.7467789649963379 1.2254874706268311 
26    0.18695366382598877 0.51697981357574463  -0.86873161792755127         -2.481201171875 -0.38020920753479004 -1.7231096029281616 
27    0.18865744769573212 0.63828665018081665  -0.34120520949363708         1.5893027782440186 1.2640411853790283 0.75992751121520996 
28    0.18877282738685608 0.66337865591049194  -0.99443942308425903         1.4790737628936768 1.8732297420501709 -0.40557217597961426 
29    0.19755326211452484 0.25070905685424805  -1.8958419561386108         -3.0388262271881104 1.5656483173370361 -1.2591652870178223 
30    0.20175725221633911 0.35582295060157776  -1.4597361087799072         -1.7003965377807617 -2.1044344902038574 1.1743195056915283 
31    0.20264971256256104 0.55913656949996948  -0.33146083354949951         1.6557633876800537 1.4149196147918701 0.86385512351989746 
32    0.20484687387943268 0.75640439987182617  -1.1647927761077881         -2.8487715721130371 -1.4468483924865723 0.0042352676391601562 
33    0.20616711676120758 0.84223675727844238  -1.3111288547515869         2.4310781955718994 -0.76935744285583496 1.0625350475311279 
34    0.20761510729789734 0.21100658178329468  -1.4417711496353149         -2.023421049118042 -1.2300653457641602 1.3535435199737549 
35    0.21019910275936127 0.29450502991676331  -0.33734545111656189         -1.4276032447814941 -1.2633693218231201 -0.64414525032043457 
36    0.21060231328010559 0.37664675712585449  -1.7804789543151855         2.5836522579193115 2.2029745578765869 -1.3692371845245361 
37    0.20767629146575928 0.44942232966423035  -0.69664919376373291         -1.4651985168457031 -1.9039682149887085 -0.2564547061920166 
38    0.21290868520736694 0.683246910572052  -1.1819334030151367         1.4279277324676514 2.0200588703155518 -0.73026537895202637 
39    0.21942256391048431 0.34857660531997681  -2.0412814617156982         -2.8231697082519531 -0.71536445617675781 2.1573860645294189 
40    0.2232183963060379 0.42631420493125916  -0.68425405025482178         -1.3208584785461426 -1.9465619325637817 -0.28712654113769531 
41    0.22350130975246429 0.6163371205329895  -1.6878421306610107         1.8030264377593994 2.2848522663116455 -1.5121163129806519 
42    0.22024063766002655 0.65958100557327271  -1.5486441850662231         1.6837089061737061 2.1520435810089111 -1.3421609401702881 
43    0.23302638530731201 0.27724269032478333  -1.7579354047775269         -2.1080565452575684 -1.5542317628860474 1.8670275211334229 
44    0.23717130720615387 0.31594714522361755  -0.26777470111846924         -1.5451873540878296 -0.89270830154418945 -1.2769832611083984 
45    0.24592192471027374 0.58804762363433838  -2.1775107383728027         2.4657385349273682 1.9918777942657471 -2.372124195098877 
46    0.23766128718852997 0.63527888059616089  -0.91691088676452637         2.0903475284576416 0.10256552696228027 2.0018885135650635 
47    0.24022932350635529 0.6485525369644165  -1.2411507368087769         -3.0940494537353516 -0.088114500045776367 -1.9851813316345215 
48    0.23813596367835999 0.77658075094223022  -0.56244194507598877         1.6988403797149658 0.35808014869689941 1.3028790950775146 
49    0.24427320063114166 0.81633001565933228  -1.79752516746521         2.8866574764251709 -1.499214768409729 1.029918909072876 
50    0.2451169341802597 0.92624807357788086  -1.0859683752059937         2.2277028560638428 -0.27576422691345215 0.19721269607543945 
51    0.25191894173622131 0.14753961563110352  -1.7298972606658936         -2.9365072250366211 1.2541759014129639 -0.29795217514038086 
52    0.25405475497245789 0.27242580056190491  -0.3962157666683197         -1.1575675010681152 -1.4842265844345093 -0.52943539619445801 
53    0.24820010364055634 0.42802336812019348  -1.0827617645263672         -2.3457279205322266 -0.0042428970336914062 -2.2537646293640137 
54    0.25662967562675476 0.46282237768173218  -2.3024356365203857         -2.6052546501159668 -2.214613676071167 2.4625389575958252 
55    0.25726959109306335 0.63877135515213013  -0.74785798788070679         -2.6651568412780762 -0.84499788284301758 -1.5759735107421875 
56    0.25308907032012939 0.66180545091629028  -1.9971128702163696         2.8024537563323975 -1.6709527969360352 2.2802603244781494 
57    0.25191912055015564 0.79219704866409302  -1.7230560779571533         2.6104199886322021 0.22473669052124023 -1.5976390838623047 
58    0.25195926427841187 0.80842185020446777  -1.8796337842941284         2.9780037403106689 -1.6125776767730713 0.98853373527526855 
59    0.26668471097946167 0.10813961923122406  -1.0178619623184204         -1.6880205869674683 -1.0048210620880127 0.73014426231384277 
60    0.26344478130340576 0.26227566599845886  -1.8963629007339478         -2.6893784999847412 -0.34302902221679688 1.9556615352630615 
61    0.26067155599594116 0.34597143530845642  -1.3663026094436646         -1.2002902030944824 -2.3989658355712891 0.90645861625671387 
62    0.26547843217849731 0.39153406023979187  -2.3341524600982666         -3.1207385063171387 2.1622383594512939 -2.372612476348877 
63    0.2668825089931488 0.49163317680358887  -1.9908343553543091         2.1172621250152588 2.7124326229095459 -1.7767783403396606 
64    0.26077407598495483 0.68491637706756592  -1.9782207012176514         2.2232596874237061 1.6668097972869873 -2.2236437797546387 
65    0.26724520325660706 0.72673118114471436  -1.5925966501235962         1.5649139881134033 2.0863597393035889 -1.5224535465240479 
66    0.26272085309028625 0.87541383504867554  -1.6182608604431152         2.7784187793731689 -1.157703161239624 0.40456867218017578 
67    0.27462604641914368 0.14800426363945007  -1.7863374948501587         -2.9868249893188477 1.3248260021209717 -0.18543219566345215 
68    0.27430927753448486 0.22903464734554291  -1.8774013519287109         -2.9343118667602539 0.35895872116088867 1.4920065402984619 
69    0.27019807696342468 0.32816284894943237  -0.71102792024612427         -0.93512797355651855 -1.9716058969497681 -0.24121665954589844 
70    0.26888522505760193 0.61417132616043091  -1.6704561710357666         2.5707323551177979 -0.97335004806518555 2.5697128772735596 
71    0.26874452829360962 0.702472984790802  -1.7204000949859619         -2.7237303256988525 -2.2700667381286621 1.1314117908477783 
72    0.27363911271095276 0.81382656097412109  -1.6767839193344116         2.5239026546478271 0.22820806503295898 -1.5734460353851318 
73    0.27988055348396301 0.15818995237350464  -0.88935846090316772         -1.8433685302734375 0.21703958511352539 -1.4258242845535278 
74    0.28159874677658081 0.45358839631080627  -1.7094146013259888         1.8192336559295654 2.7960884571075439 -1.2184925079345703 
75    0.28777411580085754 0.83106803894042969  -0.58969050645828247         1.5964925289154053 0.22473597526550293 1.3024303913116455 
76    0.29744517803192139 0.098144665360450745  -1.1036880016326904         -1.6902104616165161 -0.9981391429901123 0.91908621788024902 
77    0.2883664071559906 0.14176546037197113  -1.7250412702560425         -2.9205167293548584 0.97990775108337402 0.4371647834777832 
78    0.29787304997444153 0.31828498840332031  -0.66548621654510498         2.6580770015716553 1.1944348812103271 1.3047759532928467 
79    0.29689902067184448 0.43547436594963074  -1.4748467206954956         -0.95958662033081055 -2.8163158893585205 0.79583239555358887 
80    0.29284822940826416 0.47505977749824524  -1.1543474197387695         1.0922195911407471 2.6711814403533936 -0.14967584609985352 
81    0.29043543338775635 0.54853534698486328  -1.1682999134063721         -1.2751513719558716 -2.6501061916351318 0.21091341972351074 
82    0.29586631059646606 0.5717473030090332  -2.2328848838806152         2.1172621250152588 2.7124326229095459 -2.2936892509460449 
83    0.29542073607444763 0.66396021842956543  -1.6750606298446655         -2.4105184078216553 -2.5522425174713135 1.0698392391204834 
84    0.29031786322593689 0.72169798612594604  -1.9309380054473877         2.1010854244232178 1.5964548587799072 -2.2239878177642822 
85    0.3062317967414856 0.1431117057800293  -0.59918570518493652         -1.573875904083252 -0.16958189010620117 -1.2412890195846558 
86    0.30623719096183777 0.43126130104064941  -2.4815905094146729         -2.6201252937316895 -2.2201642990112305 2.8326957225799561 
87    0.30709144473075867 0.47627076506614685  -1.3507703542709351         -2.713141918182373 0.12306904792785645 -2.7706866264343262 
88    0.30776253342628479 0.54041755199432373  -2.5245504379272461         2.9053995609283447 1.6692802906036377 -2.9599547386169434 
89    0.31733185052871704 0.46085995435714722  -0.46895343065261841         -0.99174976348876953 -1.995814323425293 -1.0105443000793457 
90    0.31256452202796936 0.67485165596008301  -0.56900042295455933         0.73890304565429688 1.8883364200592041 0.63095664978027344 
91    0.31531423330307007 0.68460118770599365  -2.138242244720459         -2.9854598045349121 -2.5155422687530518 1.7671024799346924 
92    0.30981412529945374 0.69797199964523315  -1.3063867092132568         0.84635066986083984 2.4376757144927979 -0.76228952407836914 
93    0.32371926307678223 0.095635376870632172  -1.1783922910690308         -1.6880205869674683 -1.0048210620880127 1.0822961330413818 
94    0.3272937536239624 0.2784176766872406  -2.3083860874176025         -3.0493142604827881 2.3491265773773193 -1.8066437244415283 
