0 60  -2.16581 -255.23   209.397 0.378784
200 3852  -0.414036 -12649   1637.98 0.0544491
400 7491  -0.129468 -23718.9   2598.9 0.032145
600 11104  -0.129468 -34412.6   3434.57 0.0229391
800 14671  -0.129468 -44748.6   4185.51 0.0176757
1000 18207  -0.129468 -54878.2   4885.2 0.01457
