0 138  -119.061 -37398.8   10415.8 108.093
500 872  -64.5731 -177168   29608.1 8.9993
1000 934  -51.4552 -182644   30878.6 8.51292
1500 978  -51.4552 -187391   31768.4 7.99321
2000 1001  -51.4552 -189001   32233.9 8.21855
2500 1018  -51.4552 -189955   32535.6 7.8894
3000 1034  -51.4552 -191862   32851.1 7.59371
3500 1045  -49.3427 -193013   33064.1 7.44854
4000 1054  -49.3427 -193010   33230.4 7.47503
4500 1063  -49.3427 -194089   33418 7.7124
5000 1066  -49.3427 -193672   33472.7 7.77628
