0    -99.919714610194205 89.28824120759964 17.477977842092514  -119.06105804443359         8 15 
1    23.442396640777588 99.96864902973175 -43.420449669240043  -130.99868774414062         8 11 
2    -99.974450062632513 79.012594729661942 -41.025160203418636  -199.638916015625         8 14 
3    -18.023676134645939 3.9769171923398972 -65.616631686687469  -221.05075073242188         8 11 
4    13.650305390357971 -11.606214284896851 3.6609989404678345  -68.604904174804688         8 12 
5    26.047737240791321 -36.305648707493674 -2.8186806794255972  -132.96183776855469         8 11 
6    81.141290545463562 1.0825329422950745 59.280886299908161  -218.83322143554688         8 10 
7    20.162438094615936 84.757183909416199 -90.668090321513915  -127.35529327392578         8 12 
8    81.799908041954041 10.73984831571579 -10.512316248787101  -163.49691772460938         8 12 
9    69.750205814838409 -10.686006724834442 -28.234634220600128  -128.90904235839844         8 13 
10    -99.645077994536365 -55.044469373358879 33.00215457752347  -254.16653442382812         8 10 
11    82.25127911567688 -96.064022867940366 -8.354313517560513  -139.23550415039062         8 11 
12    -49.888530105352402 -70.814787024864927 62.007244594395161  -210.07760620117188         8 12 
13    -22.059705138206482 30.209566339850426 99.899698495864868  -222.90541076660156         8 10 
14    28.836194396018982 77.266408920288086 -29.230705812573433  -156.3057861328125         8 13 
15    -43.746951341629028 -48.817090256139636 52.166197195649147  -175.78732299804688         8 7 
16    -63.995810322463512 -25.227660298347473 -19.023254990577698  -201.78825378417969         8 10 
17    -40.169936865262343 -65.588857224211097 5.5389223098754883  -168.55792236328125         8 12 
18    -35.744860839098692 -44.997231340657891 -9.5038251429796219  -194.96357727050781         8 13 
19    13.031435251235962 27.58632368594408 99.839165091514587  -168.27052307128906         8 10 
20    21.997379660606384 29.428006052970886 -54.303752534091473  -79.0843505859375         8 14 
21    -99.928272775279765 29.50035834312439 99.137242197990417  -228.48246765136719         8 11 
22    -48.09653440117836 -34.963547986932099 -25.145275503396988  -199.53109741210938         8 10 
23    -81.673118263483047 -59.676780328751192 -34.312000531324884  -261.17529296875         8 10 
24    16.893654316663742 -61.279307985700143 -99.347658046045126  -168.49169921875         8 12 
25    -53.290074635879137 -25.810426249634475 47.355689913034439  -138.36482238769531         8 10 
26    99.894628047943115 52.276238441467285 -6.3852963447570801  -217.05203247070312         8 9 
27    -67.059600533393677 -52.472578224987956 99.915526986122131  -214.16610717773438         8 13 
28    34.828447699546814 -67.33525243853046 -13.581362843513489  -128.00051879882812         8 10 
29    23.29195237159729 14.293050169944763 85.963278293609619  -176.0804443359375         8 4 
30    71.367024004459381 36.235014446079731 38.450526118278503  -230.71739196777344         8 12 
31    37.028380393981934 92.150331139564514 31.88106681406498  -194.87257385253906         8 9 
32    72.615221381187439 -74.455821373412789 65.107297897338867  -170.96603393554688         8 9 
33    -36.794367626309395 -66.998426348509383 75.324251495301723  -188.04208374023438         8 10 
34    -4.6689826846122742 12.561515390872955 45.280624508857727  -230.16673278808594         8 9 
35    -39.056230041431263 99.997042179107666 6.3698277307839817  -151.71038818359375         8 12 
36    78.202291131019592 36.125955998897552 -71.769113274694973  -180.98713684082031         8 10 
37    -32.791816484435188 99.22531521320343 -11.586942803114653  -200.06404113769531         8 11 
