0    -99.919714610194205 89.28824120759964 17.477977842092514  -119.06105804443359         8 15 
1    17.515178561210632 16.955822229385376 -14.247477412223816  -126.78524017333984         8 15 
2    99.715258955955505 69.988993644714355 -18.240669578313828  -214.75750732421875         8 14 
3    -95.474650248969283 -79.967881073011085 -17.958329826593399  -263.11663818359375         8 14 
4    -34.238729164004326 99.839466452598572 -86.552956075989187  -225.10614013671875         8 13 
5    18.468373388051987 -77.630004653707147 -73.406380770262331  -152.07792663574219         8 14 
6    -51.793528918176889 -28.23165014013648 66.582595750689507  -224.53182983398438         8 13 
7    1.0553002059459686 51.050566136837006 -69.812421390786767  -165.18385314941406         8 12 
8    48.940655589103699 -58.964663689956069 37.848503407090902  -123.58042907714844         8 13 
9    23.442396640777588 99.96864902973175 -43.420449669240043  -130.99868774414062         8 11 
10    -99.974450062632513 79.012594729661942 -41.025160203418636  -199.638916015625         8 14 
11    -18.023676134645939 3.9769171923398972 -65.616631686687469  -221.05075073242188         8 11 
12    13.650305390357971 -11.606214284896851 3.6609989404678345  -68.604904174804688         8 12 
13    26.047737240791321 -36.305648707493674 -2.8186806794255972  -132.96183776855469         8 11 
14    81.141290545463562 1.0825329422950745 59.280886299908161  -218.83322143554688         8 10 
15    77.184251844882965 -34.20682047857531 -99.90532956131392  -208.73353576660156         8 10 
16    99.707733988761902 -47.635288874845628 41.686993202194571  -218.27774047851562         8 13 
17    20.162438094615936 84.757183909416199 -90.668090321513915  -127.35529327392578         8 12 
18    81.799908041954041 10.73984831571579 -10.512316248787101  -163.49691772460938         8 12 
19    32.627570271492004 5.2522690892219543 -12.774302065372467  -112.35670471191406         8 13 
20    69.750205814838409 -10.686006724834442 -28.234634220600128  -128.90904235839844         8 13 
21    -48.61775740981102 -69.18549295165576 -10.167760252952576  -222.58828735351562         8 11 
22    99.870199680328369 8.4412559866905212 -63.985227435827255  -180.53509521484375         8 11 
23    -99.645077994536365 -55.044469373358879 33.00215457752347  -254.16653442382812         8 10 
24    82.25127911567688 -96.064022867940366 -8.354313517560513  -139.23550415039062         8 11 
25    -49.888530105352402 -70.814787024864927 62.007244594395161  -210.07760620117188         8 12 
26    -22.059705138206482 30.209566339850426 99.899698495864868  -222.90541076660156         8 10 
27    28.836194396018982 77.266408920288086 -29.230705812573433  -156.3057861328125         8 13 
28    -99.765953848400386 98.560345411300659 0.22943583130836487  -173.46334838867188         8 14 
29    -0.90734037756919861 -72.945552997291088 -42.374772868584841  -180.87297058105469         8 12 
30    99.861549258232117 29.17701106891036 8.2661586999893188  -210.66654968261719         8 8 
31    -16.808969024568796 79.894045725464821 -53.530835521407425  -161.55230712890625         8 11 
32    -43.746951341629028 -48.817090256139636 52.166197195649147  -175.78732299804688         8 7 
33    -63.995810322463512 -25.227660298347473 -19.023254990577698  -201.78825378417969         8 10 
34    -62.399355240166187 81.969334840774536 55.013208508491516  -203.245361328125         8 10 
35    58.748885631561279 86.0472811460495 29.363650679588318  -245.0196533203125         8 10 
36    -40.169936865262343 -65.588857224211097 5.5389223098754883  -168.55792236328125         8 12 
37    -35.744860839098692 -44.997231340657891 -9.5038251429796219  -194.96357727050781         8 13 
38    62.141226887702942 64.09025776386261 99.981723070144653  -241.68707275390625         8 10 
39    13.031435251235962 27.58632368594408 99.839165091514587  -168.27052307128906         8 10 
40    21.997379660606384 29.428006052970886 -54.303752534091473  -79.0843505859375         8 14 
41    -99.928272775279765 29.50035834312439 99.137242197990417  -228.48246765136719         8 11 
42    15.383501172065735 -37.928657934069633 52.177857637405396  -85.412117004394531         8 10 
43    -33.966891255695373 -99.785326604731381 88.040377259254456  -198.18907165527344         8 9 
44    -68.539305071462877 44.18258535861969 -77.040285541210324  -210.79545593261719         8 10 
45    -31.698765016972175 53.289712749421597 -46.071972586418269  -273.511962890625         8 9 
46    -99.934901291271672 87.369305849075317 38.077086828649044  -210.382080078125         8 9 
47    -48.09653440117836 -34.963547986932099 -25.145275503396988  -199.53109741210938         8 10 
48    -81.673118263483047 -59.676780328751192 -34.312000531324884  -261.17529296875         8 10 
49    19.792109906673431 -77.42229028105254 0.41174431890249252  -122.72679901123047         8 10 
50    16.893654316663742 -61.279307985700143 -99.347658046045126  -168.49169921875         8 12 
51    34.357356190681458 47.767551243305206 99.984015464782715  -234.5609130859375         8 8 
52    -53.290074635879137 -25.810426249634475 47.355689913034439  -138.36482238769531         8 10 
53    99.894628047943115 52.276238441467285 -6.3852963447570801  -217.05203247070312         8 9 
54    64.73732578754425 -56.612972497940063 12.71533340215683  -184.64309692382812         8 11 
55    -67.059600533393677 -52.472578224987956 99.915526986122131  -214.16610717773438         8 13 
56    34.828447699546814 -67.33525243853046 -13.581362843513489  -128.00051879882812         8 10 
57    -14.689833760261536 -18.653981057948169 99.962857723236084  -200.93745422363281         8 11 
58    23.29195237159729 14.293050169944763 85.963278293609619  -176.0804443359375         8 4 
59    -10.000891521573067 -33.724027872085571 -77.301490488927811  -208.60502624511719         8 8 
60    71.367024004459381 36.235014446079731 38.450526118278503  -230.71739196777344         8 12 
61    37.028380393981934 92.150331139564514 31.88106681406498  -194.87257385253906         8 9 
62    -48.664639092981815 38.562833547592163 21.692213475704193  -159.73707580566406         8 8 
63    -33.964730083942413 -66.440613774349913 50.849782951176167  -225.60028076171875         8 10 
64    72.615221381187439 -74.455821373412789 65.107297897338867  -170.96603393554688         8 9 
65    -36.794367626309395 -66.998426348509383 75.324251495301723  -188.04208374023438         8 10 
66    9.3839039206504822 -99.176396887876763 -56.354987443541177  -175.21986389160156         8 11 
67    -77.385592363774776 -23.721181094646454 64.85291762650013  -230.72142028808594         8 7 
68    -4.6689826846122742 12.561515390872955 45.280624508857727  -230.16673278808594         8 9 
