0 443  -0.0238746 -580.162   33.7736 0.000869029
500 4887  -0.00143094 -2321.46   120.451 2.96989e-06
1000 5335  -0.00143094 -2314.56   125.794 2.59294e-06
1500 5594  -0.00143094 -2350.36   128.737 2.50325e-06
2000 5759  -0.00143094 -2379.75   130.541 2.50693e-06
2500 5881  -0.00143094 -2401.06   131.848 2.47295e-06
3000 5986  -0.00143094 -2430.13   133.009 2.60803e-06
3500 6047  -0.00143094 -2436.79   133.629 2.65856e-06
