0 77  -0.113557 -49.179   -1465 22.1811
500 87  -0.00026373 -21.2032   -1685 22.7153
1000 87  -0 -20.652   -1685 22.7153
1500 88  -0 -21.7467   -1708 22.6054
2000 88  -0 -21.6135   -1708 22.6054
2500 88  -0 -21.5491   -1708 22.6054
3000 88  -0 -21.5224   -1708 22.6054
3500 88  -0 -21.3648   -1708 22.6054
4000 88  -0 -21.3197   -1708 22.6054
4500 88  -0 -21.311   -1708 22.6054
5000 88  -0 -21.3045   -1708 22.6054
